City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuatapere,66,NZ,1597077046,90,-46.13,167.68,46.99,10.0
Bredasdorp,0,ZA,1597077046,67,-34.53,20.04,60.8,5.82
Philadelphia,20,US,1597077033,58,39.95,-75.16,93.0,6.93
Arraial do Cabo,0,BR,1597077046,48,-22.97,-42.03,82.4,16.11
Airai,81,TL,1597077046,100,-8.93,125.41,58.71,1.45
Avarua,0,CK,1597077047,73,-21.21,-159.78,71.6,6.93
Hermanus,5,ZA,1597077047,76,-34.42,19.23,59.0,1.01
Lüderitz,0,NA,1597077047,63,-26.65,15.16,62.6,17.22
Yellowknife,75,CA,1597077005,77,62.46,-114.35,64.4,11.41
Castro,0,BR,1597077047,44,-24.79,-50.01,73.51,8.63
Bengkulu,68,ID,1597077048,89,-3.8,102.27,78.22,5.61
Ponta do Sol,40,PT,1597077048,61,32.67,-17.1,77.0,17.22
Punta Arenas,40,CL,1597077048,74,-53.15,-70.92,32.0,20.8
Saskylakh,19,RU,1597077048,74,71.92,114.08,39.36,6.02
Jamestown,40,US,1597076891,65,42.1,-79.24,82.99,12.75
Sola,20,VU,1597077048,94,-13.88,167.55,75.2,13.82
Richards Bay,0,ZA,1597077049,59,-28.78,32.04,63.36,5.7
Kayes,40,ML,1597077049,66,14.0,-11.0,91.4,9.17
Mount Isa,0,AU,1597077049,70,-20.73,139.5,44.6,7.83
Sioux Lookout,40,CA,1597077049,49,50.1,-91.92,69.8,10.29
Nouadhibou,0,MR,1597076968,65,20.93,-17.03,78.8,20.8
Butaritari,97,KI,1597077049,77,3.07,172.79,82.15,14.94
Nikolskoye,40,RU,1597077050,45,59.7,30.79,68.0,15.66
Rawson,55,AR,1597077050,54,-43.3,-65.1,44.94,36.48
Svetlaya,74,RU,1597077050,92,46.54,138.33,62.24,4.61
Bethel,1,US,1597076878,51,41.37,-73.41,90.0,3.96
Hobyo,34,SO,1597077050,73,5.35,48.53,75.7,29.66
Kombissiri,20,BF,1597077050,70,12.07,-1.34,86.0,8.05
Ndélé,95,CF,1597077050,95,8.41,20.65,72.84,2.71
Thunder Bay,75,CA,1597077050,68,48.4,-89.32,73.99,12.75
São Benedito do Rio Preto,40,BR,1597077050,33,-3.33,-43.53,95.29,4.43
Ushuaia,75,AR,1597077051,74,-54.8,-68.3,33.8,3.36
Albany,3,US,1597076966,61,42.6,-73.97,88.0,2.37
Morgan City,1,US,1597077051,62,29.7,-91.21,91.0,3.36
Mar del Plata,40,AR,1597077051,66,-38.0,-57.56,55.99,12.75
Bandarbeyla,9,SO,1597077051,73,9.49,50.81,76.6,34.27
Dubai,0,AE,1597077001,60,25.26,55.3,99.0,9.17
Rikitea,47,PF,1597077051,74,-23.12,-134.97,69.84,19.33
Ugoofaaru,72,MV,1597077051,76,5.67,73.0,82.9,15.1
Ilulissat,40,GL,1597077052,75,69.22,-51.1,41.0,9.17
Chui,18,UY,1597077052,68,-33.7,-53.46,71.22,9.62
Zemio,98,CF,1597077052,93,5.03,25.14,72.82,1.12
Nelson Bay,40,AU,1597077052,100,-32.72,152.15,54.0,11.41
Dingle,98,PH,1597077052,84,11.0,122.67,77.94,3.62
Alihe,96,CN,1597077052,89,50.57,123.72,58.17,2.57
Gornopravdinsk,37,RU,1597077052,66,60.05,69.9,69.22,6.98
Río Gallegos,40,AR,1597077052,64,-51.62,-69.22,35.6,23.04
Bariloche,75,AR,1597076770,55,-41.15,-71.31,35.6,18.34
Narsaq,20,GL,1597077053,54,60.92,-46.05,53.6,9.17
Hasaki,40,JP,1597077053,94,35.73,140.83,82.0,4.7
Qaanaaq,61,GL,1597077053,59,77.48,-69.36,42.62,7.16
New Norfolk,0,AU,1597077053,90,-42.78,147.06,35.01,3.06
Klaksvík,75,FO,1597077053,87,62.23,-6.59,57.2,11.41
Kavieng,54,PG,1597077053,72,-2.57,150.8,81.45,2.59
Henties Bay,0,NA,1597077053,86,-22.12,14.28,55.99,3.0
Ahipara,100,NZ,1597077053,94,-35.17,173.17,56.57,12.53
São Filipe,26,CV,1597077054,79,14.9,-24.5,77.16,8.28
Mataura,83,NZ,1597077054,90,-46.19,168.86,46.99,10.0
Longyearbyen,75,SJ,1597077054,81,78.22,15.64,48.2,12.75
Iqaluit,75,CA,1597077054,86,63.75,-68.51,39.2,8.05
Kaitangata,79,NZ,1597077054,63,-46.28,169.85,48.99,15.01
Görele,75,TR,1597077054,78,41.03,39.0,78.8,5.82
Bambous Virieux,40,MU,1597077054,68,-20.34,57.76,68.0,9.17
Barrow,90,US,1597076955,93,71.29,-156.79,39.2,8.05
Bubaque,100,GW,1597077054,87,11.28,-15.83,78.55,20.6
Tsabong,0,BW,1597077054,52,-26.02,22.4,48.38,1.63
Puerto Ayora,40,EC,1597077054,73,-0.74,-90.35,73.4,16.11
Port Elizabeth,0,ZA,1597077055,71,-33.92,25.57,57.2,8.05
Guerrero Negro,0,MX,1597077055,48,27.98,-114.06,79.93,10.42
Zhifang,3,CN,1597077055,88,30.35,114.32,82.4,4.47
Lianran,40,CN,1597077055,100,24.92,102.48,73.0,8.95
Port Hardy,75,CA,1597077055,77,50.7,-127.42,59.0,16.11
Cape Town,40,ZA,1597077055,82,-33.93,18.42,57.99,14.99
Tasiilaq,90,GL,1597077055,86,65.61,-37.64,41.0,14.99
Mirny,1,RU,1597077055,81,62.54,113.96,53.6,4.47
Busselton,98,AU,1597077025,78,-33.65,115.33,55.99,19.86
Isangel,20,VU,1597077056,88,-19.55,169.27,71.6,6.46
Mugur-Aksy,96,RU,1597077056,76,50.35,90.5,50.99,3.96
Maltahöhe,0,NA,1597077056,29,-24.83,16.98,55.54,7.52
Laguna,1,US,1597076835,43,38.42,-121.42,73.4,4.7
Khatanga,32,RU,1597077056,74,71.97,102.5,42.17,6.33
Cherskiy,100,RU,1597077056,87,68.75,161.3,38.68,17.78
Shimoda,9,JP,1597077056,82,34.67,138.95,78.01,5.99
Bantogon,47,PH,1597077056,72,6.53,124.03,78.01,3.29
Marsh Harbour,24,BS,1597077047,72,26.54,-77.06,83.52,3.04
Quincy,20,US,1597077056,41,42.25,-71.0,91.99,6.93
Adrar,42,MR,1597077056,13,20.5,-10.07,108.09,1.74
Kandi,100,BJ,1597077057,87,11.13,2.94,78.96,4.16
Hilo,90,US,1597077057,78,19.73,-155.09,71.6,4.7
Mahon,21,ES,1597077057,66,39.89,4.27,84.2,8.05
Griffith,90,US,1597077057,78,41.53,-87.42,84.99,8.05
Pombas,20,CV,1597077057,55,17.15,-25.02,86.0,18.34
Khandyga,88,RU,1597077057,96,62.67,135.6,52.63,1.34
Ibotirama,0,BR,1597077057,19,-12.19,-43.22,94.55,3.87
Batangafo,74,CF,1597077057,92,7.3,18.28,74.98,2.15
Hobart,0,AU,1597076947,93,-42.88,147.33,37.99,8.05
Kapaa,1,US,1597077058,69,22.08,-159.32,78.8,19.46
Cap Malheureux,80,MU,1597077058,70,-19.98,57.61,66.99,3.0
Aksu,0,CN,1597077058,21,41.12,80.26,80.42,5.75
Bluff,93,NZ,1597077058,90,-46.6,168.33,46.99,10.0
Mackay,0,AU,1597077058,87,-21.15,149.2,48.2,3.36
Taubaté,0,BR,1597076935,24,-23.03,-45.56,80.6,5.82
Geraldton,54,AU,1597077052,72,-28.77,114.6,60.8,13.87
Nong Khai,100,TH,1597077059,87,17.88,102.74,79.11,4.16
Hithadhoo,97,MV,1597077059,81,-0.6,73.08,82.24,15.77
Lexington,90,US,1597076995,100,37.99,-84.48,75.0,6.93
Fortuna,0,US,1597077059,7,40.6,-124.16,63.0,1.01
Hambantota,40,LK,1597077059,83,6.12,81.12,80.6,9.17
Antofagasta,20,CL,1597077029,63,-23.65,-70.4,60.8,5.82
Olafsvik,100,IS,1597077059,94,64.89,-23.71,51.53,21.81
Clayton,40,US,1597077059,52,33.53,-84.37,91.4,9.17
Kulu,28,TR,1597077059,34,39.1,33.08,78.49,17.13
Port Alfred,0,ZA,1597077060,74,-33.59,26.89,58.46,11.32
Sungai Penuh,87,ID,1597077060,93,-2.08,101.38,66.52,2.37
Lethem,59,GY,1597077060,60,3.38,-59.8,89.28,1.32
Esperance,75,AU,1597077060,87,-33.87,121.9,55.4,14.99
Regeneração,7,BR,1597077060,25,-6.24,-42.69,97.59,8.1
Vilyuysk,71,RU,1597077060,93,63.76,121.62,47.07,2.68
Calvinia,0,ZA,1597077061,42,-31.47,19.78,52.86,6.64
Lancaster,1,US,1597077061,52,40.25,-76.25,87.8,2.95
Touros,40,BR,1597077061,61,-5.2,-35.46,82.4,16.11
Tiksi,74,RU,1597077061,86,71.69,128.87,37.24,6.02
Chokurdakh,100,RU,1597077061,74,70.63,147.92,38.82,6.24
Xai-Xai,0,MZ,1597077061,70,-25.05,33.64,65.91,9.71
Provideniya,97,RU,1597077062,92,64.38,-173.3,49.51,6.4
Picos,0,BR,1597077062,27,-7.08,-41.47,93.72,9.89
Senneterre,75,CA,1597077062,69,48.38,-77.23,78.8,11.41
Kemijärvi,90,FI,1597077062,61,66.71,27.43,56.62,8.55
Krasnoarmiys'k,89,UA,1597076829,49,48.28,37.18,76.01,4.99
Clyde River,90,CA,1597077062,81,70.47,-68.59,42.8,10.29
Severo-Kuril'sk,45,RU,1597077062,90,50.68,156.12,50.36,3.24
Arsen'yev,100,RU,1597077062,91,44.16,133.27,69.15,2.48
Talnakh,90,RU,1597077062,100,69.49,88.4,51.8,6.71
Vila Velha,75,BR,1597077063,69,-20.33,-40.29,78.8,12.75
Goundam,33,ML,1597077063,20,16.41,-3.67,103.03,7.54
Hualmay,49,PE,1597077063,64,-11.1,-77.61,66.45,9.69
Gamba,100,GA,1597077063,76,-2.65,10.0,74.61,9.19
Tilichiki,94,RU,1597077063,91,60.47,166.1,49.44,4.29
Mahébourg,40,MU,1597077063,68,-20.41,57.7,68.0,9.17
Moose Factory,75,CA,1597077063,94,51.26,-80.61,68.0,8.05
East London,0,ZA,1597076931,55,-33.02,27.91,64.45,17.87
Saint Paul Harbor,0,US,1597077064,76,57.79,-152.41,52.11,7.52
Santa Fe,9,AR,1597076804,22,-31.63,-60.7,66.99,8.99
Sept-Îles,20,CA,1597077064,64,50.2,-66.38,73.4,9.17
Bashmakovo,5,RU,1597077064,70,53.21,43.03,59.81,4.32
Cedar City,1,US,1597076926,12,37.68,-113.06,78.8,5.46
Teeli,100,RU,1597077064,70,51.03,90.23,57.34,2.8
Rawlins,1,US,1597077064,23,41.79,-107.24,75.0,4.7
Nantucket,75,US,1597077049,78,41.28,-70.1,78.8,13.87
Novoagansk,0,RU,1597077064,65,61.94,76.66,66.25,7.0
Carnarvon,75,AU,1597077064,100,-24.87,113.63,62.6,12.75
San Clemente,0,US,1597077064,92,33.43,-117.61,64.99,1.01
Puerto Ayacucho,40,VE,1597077065,70,5.66,-67.62,84.2,2.24
Nabire,96,ID,1597077065,88,-3.37,135.48,76.06,3.49
Mondlo,0,ZA,1597077065,53,-27.98,30.72,52.16,9.93
Kruisfontein,0,ZA,1597077065,59,-34.0,24.73,59.0,0.69
Harper,70,LR,1597077065,78,4.38,-7.72,77.88,10.96
Saint-Philippe,75,RE,1597077065,63,-21.36,55.77,66.2,4.7
Faanui,2,PF,1597077065,66,-16.48,-151.75,77.72,8.23
Sitka,90,US,1597077065,87,57.05,-135.33,53.6,11.41
Faya,75,SA,1597077065,82,18.39,42.45,71.6,5.82
Ixtapa,75,MX,1597077066,79,20.7,-105.2,87.01,5.82
Tulun,75,RU,1597077066,72,54.56,100.58,57.54,1.92
Atuona,4,PF,1597077066,68,-9.8,-139.03,78.85,20.45
Tura,100,IN,1597077066,91,25.52,90.22,77.18,6.35
Saint George,1,US,1597076973,14,37.1,-113.58,86.0,5.82
Barranca,71,PE,1597077066,65,-10.75,-77.77,66.07,8.9
Aklavik,90,CA,1597077066,100,68.22,-135.01,44.6,4.7
Kondinskoye,7,RU,1597077066,83,59.65,67.41,67.64,10.33
Hong Kong,100,HK,1597076836,80,22.29,114.16,86.0,3.0
Vaini,40,TO,1597077067,78,-21.2,-175.2,71.6,5.82
Cidreira,0,BR,1597077067,47,-30.18,-50.21,77.36,7.52
San Quintín,0,MX,1597077067,59,30.48,-115.95,74.86,11.59
Pevek,100,RU,1597076840,87,69.7,170.31,41.85,3.51
San Jose,20,US,1597076801,63,37.34,-121.89,71.01,1.72
Lodja,72,CD,1597077067,68,-3.48,23.43,78.57,2.44
Grindavik,75,IS,1597077067,100,63.84,-22.43,51.8,26.4
Rāvar,0,IR,1597077067,17,31.27,56.81,84.34,3.06
Norman Wells,20,CA,1597076827,72,65.28,-126.83,62.6,5.82
Ribeira Grande,20,PT,1597077068,57,38.52,-28.7,77.0,18.34
Porto-Novo,40,BJ,1597077068,88,6.5,2.6,77.0,13.87
Trebisacce,35,IT,1597077068,50,39.87,16.53,86.0,4.0
Ulagan,78,RU,1597077068,76,50.63,87.96,52.29,1.54
Port Lincoln,100,AU,1597077068,79,-34.73,135.87,53.76,19.24
Uribia,99,CO,1597077068,41,11.71,-72.27,94.55,23.85
Kouroussa,92,GN,1597077068,88,10.65,-9.88,79.43,7.25
Tuktoyaktuk,75,CA,1597077068,81,69.45,-133.04,46.4,8.05
Yuncheng,75,CN,1597077068,70,35.02,110.99,80.53,5.55
Dwārka,83,IN,1597077069,83,22.24,68.97,83.77,19.08
Thompson,75,CA,1597077069,93,55.74,-97.86,59.0,10.29
Northam,82,GB,1597077069,84,51.03,-4.22,73.0,3.0
Coos Bay,1,US,1597077069,82,43.37,-124.22,69.01,3.36
Columbus,40,US,1597076998,62,39.96,-83.0,84.99,8.05
Vardø,75,NO,1597077069,81,70.37,31.11,51.8,13.87
Petropavlovsk-Kamchatskiy,40,RU,1597077069,100,53.05,158.65,51.8,2.24
Vilhena,0,BR,1597076811,39,-12.74,-60.15,84.2,10.29
Jasper,1,US,1597077069,58,37.2,-94.35,87.8,16.11
Basco,100,PH,1597077070,77,20.45,121.97,84.18,9.73
Tallahassee,75,US,1597076992,62,30.44,-84.28,93.0,3.36
Sergiyev Posad,40,RU,1597077070,77,56.3,38.13,68.0,6.71
Hervey Bay,0,AU,1597077070,71,-25.3,152.85,53.01,5.01
Bilma,40,NE,1597077070,18,18.69,12.92,101.7,9.89
Buenos Aires,0,AR,1597076926,39,-34.61,-58.38,62.6,11.41
Marawi,92,PH,1597077070,91,8.0,124.29,77.0,5.01
Jalu,1,LY,1597077070,23,29.03,21.55,93.61,4.72
Falun,0,SE,1597077070,40,60.6,15.63,77.0,3.36
Nishifukuma,20,JP,1597077071,88,33.77,130.47,82.99,13.87
Baruun-Urt,21,MN,1597077071,80,46.68,113.28,56.97,5.68
Heihe,20,CN,1597077071,93,50.24,127.49,62.6,6.71
Saint-Pierre,75,RE,1597077071,63,-21.34,55.48,66.2,4.7
Cockburn Town,40,TC,1597077010,62,21.46,-71.14,87.8,9.17
Fairbanks,1,US,1597076811,87,64.84,-147.72,53.6,4.7
Port Blair,100,IN,1597077071,85,11.67,92.75,82.17,13.11
Kulhudhuffushi,48,MV,1597077065,77,6.62,73.07,82.6,15.55
Tapes,0,BR,1597077051,54,-30.67,-51.4,76.64,11.36
Beroroha,20,MG,1597077072,53,-21.67,45.17,73.26,9.22
Kahului,40,US,1597077072,65,20.89,-156.47,78.8,12.75
Arklow,100,IE,1597077072,95,52.79,-6.14,63.0,10.8
Seoul,90,KR,1597076903,100,37.57,126.98,77.0,4.63
Yulara,90,AU,1597077072,77,-25.24,130.99,64.4,6.93
Hope,0,US,1597077052,54,33.67,-93.59,88.0,5.99
Erdenet,40,MN,1597077073,82,49.03,104.08,52.14,1.05
Mossamedes,14,AO,1597077073,77,-15.2,12.15,64.78,7.09
Luganville,20,VU,1597077073,100,-15.53,167.17,69.8,4.0
Banda Aceh,99,ID,1597077073,70,5.56,95.32,82.51,7.4
Arrondissement de Bastia,0,FR,1597077073,40,42.67,9.33,89.6,4.7
Itupiranga,40,BR,1597076856,38,-5.13,-49.33,93.2,2.24
Manokwari,6,ID,1597077073,73,-0.87,134.08,79.66,2.17
Saint-Paul,70,RE,1597077073,55,-21.01,55.27,66.2,10.29
Ucluelet,90,CA,1597076925,100,48.93,-125.55,57.99,3.36
Morro Bay,0,US,1597077074,87,35.37,-120.85,71.01,1.99
Lebu,28,CL,1597077074,60,-37.62,-73.65,48.88,16.37
Sokoni,18,TZ,1597077074,79,-6.43,39.55,75.22,11.95
Naze,75,JP,1597077074,89,28.37,129.48,84.2,6.93
Berdigestyakh,0,RU,1597077074,81,62.1,126.7,49.55,4.45
Shenjiamen,9,CN,1597077074,91,29.96,122.3,80.11,18.92
Sosnovo-Ozerskoye,100,RU,1597077075,95,52.52,111.54,52.57,4.81
Kamenka,52,RU,1597077075,43,51.32,42.77,75.99,1.99
Solnechnyy,97,RU,1597077075,94,50.72,136.63,61.14,4.14
Krasnosel'kup,31,RU,1597077075,75,65.7,82.47,62.91,13.13
Riyadh,0,SA,1597076803,10,24.69,46.72,100.4,14.99
Kostek,74,RU,1597077075,53,43.34,46.85,73.58,11.59
George Town,20,MY,1597077075,88,5.41,100.34,84.2,5.93
Igarka,65,RU,1597077075,86,67.47,86.58,51.26,4.45
Half Moon Bay,90,US,1597076851,88,37.46,-122.43,69.01,5.19
Dikson,73,RU,1597077076,94,73.51,80.55,40.84,16.62
Birao,25,CF,1597077076,92,10.28,22.79,73.89,3.87
Ostrovnoy,99,RU,1597077076,81,68.05,39.51,49.75,10.71
Laas,75,IT,1597077076,73,46.62,10.7,73.0,5.82
Jaciara,0,BR,1597077076,16,-15.97,-54.97,96.62,5.88
Dongning,100,CN,1597077076,92,44.06,131.12,69.31,1.01
Gitega Province,44,BI,1597077076,51,-3.5,29.95,67.82,5.64
Lavrentiya,41,RU,1597077076,77,65.58,-171.0,47.79,2.48
Sangar,0,RU,1597077076,83,63.92,127.47,49.77,7.87
Olinda,40,BR,1597077077,61,-8.01,-34.86,82.4,14.99
Finote Selam,99,ET,1597077077,92,10.7,37.27,57.74,1.54
Viedma,30,AR,1597077077,48,-40.81,-63.0,48.0,11.01
Maceió,20,BR,1597077056,51,-9.67,-35.74,80.6,8.05
Gelibolu,9,TR,1597077077,29,40.41,26.67,87.8,18.34
Beatrice,1,US,1597077077,69,40.27,-96.75,75.2,14.99
Nanortalik,1,GL,1597077077,73,60.14,-45.24,43.61,16.26
Ranong,99,TH,1597077077,85,9.97,98.63,80.35,6.06
Cabo San Lucas,75,MX,1597076961,74,22.89,-109.91,84.0,17.22
Riverton,1,US,1597077078,20,40.52,-111.94,82.4,8.05
Haines Junction,100,CA,1597077078,84,60.75,-137.51,48.76,2.17
Carbonia,0,IT,1597077078,51,39.17,8.52,96.8,10.29
Bolshaya Glushitsa,92,RU,1597077078,35,50.24,43.59,79.0,4.0
Arica,90,CL,1597077078,77,-18.48,-70.3,60.8,6.93
Icod de los Vinos,40,ES,1597077078,77,28.37,-16.71,71.01,20.8
Kokopo,14,PG,1597077078,84,-4.35,152.26,76.26,4.97
Ulladulla,90,AU,1597077078,100,-35.35,150.47,48.2,5.82
Cabedelo,75,BR,1597077078,65,-6.98,-34.83,80.6,17.22
Maniwaki,84,CA,1597077079,58,46.38,-75.97,81.81,7.61
Paamiut,0,GL,1597077079,82,61.99,-49.67,40.57,18.59
Iracoubo,1,GF,1597077079,76,5.48,-53.2,83.59,11.03
Kathu,20,TH,1597077079,94,7.92,98.33,87.01,1.12
Lagoa,58,PT,1597077079,70,39.05,-27.98,70.68,12.39
Poum,100,NC,1597077079,81,-20.23,164.02,72.54,13.2
Derzhavīnsk,48,KZ,1597077079,67,51.1,66.32,63.59,15.3
Kumul,92,CN,1597077080,25,42.8,93.45,82.92,8.28
Cabra,53,ES,1597077080,28,37.47,-4.44,97.0,12.26
Grand Gaube,78,MU,1597077080,70,-20.01,57.66,66.99,3.0
